Date,Time,Latitude,Longitude,Turtle_ID,Turtle_sex,Altitude,Duration,Temperature,Voltage,DOP,Satellites,EST_Time
5/12/2022,19:00,41.57882667,-71.72011597,L1R2,male,10.17333333,22,26.33333333,0,2.2,5,5/12/22 19:00
5/13/2022,7:00,41.57760885,-71.7202712,L1R2,male,3.66,66,20,0,2.1,4.5,5/13/22 7:00
5/13/2022,11:00,41.5776272,-71.72004927,L1R2,male,-15.45666667,18.33333333,24,0,1.933333333,4.666666667,5/13/22 11:00
5/13/2022,19:00,41.57789133,-71.71999253,L1R2,male,4.213333333,45,28.16666667,0,2.333333333,4.333333333,5/13/22 19:00
5/14/2022,7:00,41.57790397,-71.72009593,L1R2,male,16.19333333,35.66666667,20.66666667,0,2.333333333,4.333333333,5/14/22 7:00
5/14/2022,11:00,41.5779525,-71.72002453,L1R2,male,-5.956666667,33,41.16666667,0,1.866666667,5,5/14/22 11:00
5/15/2022,11:00,41.57751353,-71.72011757,L1R2,male,23.38333333,13.66666667,24.16666667,0,2,5,5/15/22 11:00
5/16/2022,11:00,41.57784983,-71.72000617,L1R2,male,10.41,20,39.16666667,0,2.2,5,5/16/22 11:00
5/17/2022,11:00,41.57885647,-71.72042167,L1R2,male,72.24333333,25,26,0,1.6,5,5/17/22 11:00
5/19/2022,11:00,41.578447,-71.72030577,L1R2,male,15.51666667,17.66666667,14.5,0,2.4,5,5/19/22 11:00
5/20/2022,11:00,41.57874773,-71.72036713,L1R2,male,17.54666667,23.66666667,21.16666667,0,2.4,5,5/20/22 11:00
5/21/2022,11:00,41.57861783,-71.72029217,L1R2,male,19.24,24.33333333,24,0,2.6,5,5/21/22 11:00
5/21/2022,19:00,41.57857173,-71.72028167,L1R2,male,31.04,18.66666667,27.16666667,0,2.266666667,4.666666667,5/21/22 19:00
5/22/2022,11:00,41.5778169,-71.72000247,L1R2,male,4.49,41,38.5,0,1.8,4.333333333,5/22/22 11:00
5/23/2022,11:00,41.5774477,-71.72000057,L1R2,male,-5.543333333,38,27.16666667,0,2.666666667,4.333333333,5/23/22 11:00
5/27/2022,11:00,41.57742733,-71.71995427,L1R2,male,25.13333333,34.66666667,18.83333333,0,1.666666667,5.333333333,5/27/22 11:00
5/27/2022,19:00,41.57757363,-71.7197967,L1R2,male,21.88666667,17.66666667,22.66666667,0,2,5,5/27/22 19:00
