"","L1R2","L1R4","L3R1","L3R3","L3R9","L9R0"
"50",0.554265600585938,6.95471312255859,6.45918967285156,2.10864603271484,0.353171081542969,6.02663924560547
"55",0.620475988769531,7.38364450683594,7.34139521484375,2.16563404541016,0.374530200195313,7.01783236083984
"60",0.683063903808594,8.02836115722656,11.7293299194336,2.19342808837891,0.830592590332031,7.12785859375
"65",0.947405163574219,8.12975753173828,12.4091303222656,2.23112814941406,1.30554066162109,7.35993488769531
"70",1.14685225830078,8.98319583740234,14.9880770385742,2.56272447509766,1.38011599121094,7.40732418212891
"75",1.33760754394531,9.04423186035156,15.2737917236328,2.81936206054687,3.71493037109375,7.67369654541016
"80",1.49359064941406,9.17161680908203,15.6114243164063,3.18961190185547,5.31676317138672,8.66580249023438
"85",1.52505107421875,10.1000233642578,15.6693137084961,3.66231090087891,6.95939958496094,8.92979558105469
"90",1.62439451904297,10.551842956543,28.2719983032227,5.06516328125,8.25919655761719,12.0384154174805
"95",2.27253682861328,11.9087774536133,41.8812924926758,5.68252138671875,8.37876047363281,12.3556338012695
"100",5.00208239746094,22.5105163330078,43.5281423217773,5.87425384521484,9.3540939453125,15.4514453125
